hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12
458033,458,621338.1,1974.717,2532.618,3185.026,4127.106,10000.0,0,0.0,1,0.5,175.3095,5,1785.454,8.711562,-0.7913247,-0.5047958,40.21196,-3.331221,-0.6510682,8.021887,-0.7278951,0.0,665.4606,1025.271,1848.457,13.14179,0.0,13.339630657203957,-0.029349478126880157,3,3,4,2,0.11860100402386178,0.023444035984819176,8.688347530754258e-5,0.11689099189412498,0.2033554069308739,0.11492134457707781,0.11213351068228412,0.11232572197806773,0.10351165980603949,0.15996565925042885,0.07803922782526138
309001,309,622023.8,10456.41,10883.28,12812.32,12944.45,27777.78,0,0.0,0,1.0,175.9551,3,5654.762,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,754.5577,1285.664,1657.794,12.92932,0.0,13.340733634654876,0.13030155211294847,3,3,4,2,0.24349527833849824,0.18014098503344222,0.13458330956728837,0.24177210229213034,0.5871186348154742,0.23412372580301602,0.23360811375237864,0.202372756506659,0.15315176514752096,0.37801259445529617,0.11158891428734627
500080,500,622511.9,1448.64,1448.64,2157.642,2366.319,19444.44,0,1.0,0,0.0,171.7391,6,3036.644,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,473.1371,663.6385,12.76815,0.0,13.341518023604145,0.25135322429273543,1,2,4,3,0.20407573172908822,0.10979717329715825,0.04925813238480145,0.20407573172908822,0.427036831537115,0.20407573172908822,0.20407573172908822,0.20407573172908822,0.20407573172908822,0.29439817277660685,0.11550642976310177
552003,552,622633.4,2374.713,2852.762,3094.171,3092.109,45833.33,0,0.0,0,1.5,175.9551,4,2767.26,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,0.0,480.6286,525.9924,628.0315,12.91882,0.0,13.341713181551393,0.13911634424071373,4,2,4,2,0.39953784526777253,0.38956876322400436,0.40727294223268484,0.3975536482146594,0.9323678898124262,0.39655393285381757,0.3965624654404369,0.382890035129509,0.35877606988573624,0.6880768174026956,0.11659935229094531
166008,166,623764.3,2261.907,2294.318,2622.039,2458.084,19444.44,1,1.0,1,3.0,125.7222,6,3465.357,8.711562,-0.7913247,0.1845431,40.21196,-3.331221,0.6020159,8.021887,-0.7278951,666.6667,759.0444,987.0334,862.8434,12.68563,0.0,13.343527851636775,0.3149406177046714,4,2,4,3,0.375006718937373,0.2997824837727776,0.24011314107632117,0.37485637706444713,0.4205927953031963,0.375006718937373,0.375006718937373,0.375006718937373,0.375006718937373,0.28899447301350223,0.45934948573655743
145008,145,623992.1,11326.52,11853.59,14680.41,15514.28,16666.67,0,0.0,0,0.1,175.9551,3,6933.246,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,222.5885,1559.725,2205.915,13.17054,0.0,13.343892987015012,-0.046540795972816795,2,3,4,2,0.13326844305379942,0.04614306514711001,0.009956910234543719,0.13166344470738128,0.28625193611064076,0.12337192051049728,0.12102538949282597,0.09752845621001519,0.061225384999553614,0.20242438634052395,0.06545480169658525
327018,327,624305.3,10559.77,9824.343,11740.3,12454.09,12500.0,0,0.0,1,5.0,175.3095,4,4624.483,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,3232.2,2867.832,4134.88,4784.954,12.64392,0.0,13.344394790522049,0.34693213550379376,4,2,4,3,0.3301260361964183,0.26294451932409424,0.23704952657011127,0.3327819083999013,0.2048104017801475,0.3259292045223163,0.32343084823809126,0.3071724911582216,0.277170870684942,0.15508573420165875,0.5017688437179182
40034,40,624369.1,9627.341,9627.341,11986.49,12213.77,29166.67,0,1.0,0,0.0,171.7391,4,8324.921,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,0.0,1032.763,1380.376,13.07916,0.0,13.34449697889086,0.022252215829846378,1,3,4,2,0.2439502950004909,0.1856998237003625,0.15043312382618693,0.2439502950004909,0.6302141858717851,0.2439502950004909,0.2439502950004909,0.2439502950004909,0.2439502950004909,0.4032068888712791,0.08778483723573142
352015,352,624875.0,1994.026,2235.192,3241.523,3610.901,8333.333,0,1.0,1,0.7,125.7222,6,3048.171,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,0.0,258.8936,1068.555,1418.662,13.74879,0.0,13.345306908715871,-0.47662502236433113,3,3,4,1,0.1089888921332444,0.01786986425308839,0.0,0.10828849049604283,0.17476458798289585,0.1089888921332444,0.1089888921332444,0.1089888921332444,0.1089888921332444,0.14131566388611655,0.07728957604125213
209053,209,625321.4,9117.403,8710.146,9914.916,9557.15,16666.67,0,0.0,0,3.0,175.9551,3,3474.008,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,2693.5,1817.086,3370.141,3133.247,12.87751,0.0,13.346021036542462,0.1742502926130136,4,2,4,3,0.15869967265999338,0.06753445377143007,0.02659622248300375,0.16006999447190243,0.3000457328209878,0.15605029049947147,0.1572332579748916,0.1375227634782067,0.11110191273695082,0.21223198975284063,0.10620640628512971
