hhid,hhea,c,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,close,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmt,getbenefit,logc,unob_c,distt_q,pmt_q,c_q,unob_c_q,col2,col3,col4,col5,col6
559003,559,492678.6,1238.286,1854.552,1974.369,2249.555,26190.47,1,1.0,1,2.0,125.7222,7,3831.944,8.711562,-0.7913247,0.5789615,40.21196,-3.331221,0.3615767,8.021887,-0.7278951,0.0,453.5772,629.9371,895.7021,12.30896,1.0,13.107612313450344,0.36010144344725603,4,1,3,3,0.7098082135839753,0.5843237778430864,0.5957678781846952,0.5597402730203805,0.6144811638425
28013,28,492755.1,2063.202,2212.348,2693.684,3102.321,16666.67,0,0.0,0,0.7,175.9551,7,4422.161,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,154.0606,287.834,580.4936,12.55711,0.0,13.107767575037508,0.1750837427358949,3,1,3,3,0.35571486018430787,0.24837071782293704,0.12886492165142846,0.34142087741651844,0.34896692181946687
28012,28,493059.5,3578.427,3929.377,4844.329,5728.354,27777.78,1,0.0,0,0.7,175.9551,3,3287.064,8.711562,-0.7913247,0.0,40.21196,-3.331221,0.0,8.021887,-0.7278951,0.0,359.4748,671.6126,1354.485,12.77292,0.0,13.108385135397588,0.014660896109697674,3,2,3,2,0.4086052137902278,0.6060546433717214,0.6267417039764112,0.5778993660580455,0.6386599929533221
185029,185,493129.0,3389.549,3851.243,3977.745,3773.449,13888.89,0,0.0,1,5.0,175.3095,6,1933.839,8.711562,-0.7913247,0.1845431,40.21196,-3.331221,0.6020159,8.021887,-0.7278951,1346.75,1911.888,1861.725,1675.43,12.8894,0.0,13.108526082082964,-0.0721171443035864,4,2,3,2,0.23750439066197762,0.15352555264660936,0.044775583957887756,0.27007785019515473,0.2734999591094795
418072,418,493804.8,1385.712,1385.712,2073.523,2594.384,23333.33,1,1.0,0,0.0,171.7391,5,2420.612,8.711562,-0.7913247,-0.2791554,40.21196,-3.331221,-0.6989908,8.021887,-0.7278951,0.0,0.0,402.0668,810.8895,12.42609,0.0,13.109895576380602,0.27498068028834943,1,1,3,3,0.4237798350006574,0.48904897288485494,0.46775658095332523,0.4995174515019409,0.5355423849203118
396046,396,493901.2,3109.346,2214.061,3983.916,4357.386,11666.67,0,0.0,1,2.0,175.3095,10,2838.513,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,1616.1,640.629,2345.847,2654.832,12.76802,0.0,13.110090776167393,0.020022984654085363,4,2,3,2,0.3002429301737391,0.10020119806257356,0.011778423738262378,0.23280402394539643,0.22854019881692197
543003,543,494075.0,2660.99,2683.282,4526.745,5547.345,20833.33,0,1.0,1,0.1,125.7222,4,4705.476,8.711562,-0.7913247,0.5789615,40.21196,-3.331221,0.3615767,8.021887,-0.7278951,0.0,-55.26675,1506.014,2374.727,12.91971,0.0,13.110442606508634,-0.09281836111212272,2,2,3,2,0.3079688258518837,0.3885409080705535,0.31381313510283676,0.43353553706920345,0.4558563097477767
364023,364,494438.8,3401.94,3343.901,5165.672,6093.169,7142.857,0,1.0,1,0.3,125.7222,7,6072.055,8.711562,-0.7913247,0.4344385,40.21196,-3.331221,0.9527218,8.021887,-0.7278951,230.8714,42.544,1582.418,2345.426,12.90717,0.0,13.111178661010706,-0.08272478516244419,2,2,3,2,0.16259427551682795,0.03378068469601955,0.0,0.1500596328734166,0.15063432600723373
581042,581,494775.0,3633.665,3884.112,4918.6,5777.933,19444.44,1,0.0,0,0.1,175.9551,6,4497.955,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,0.0,111.2943,540.8769,1090.852,12.31635,0.0,13.111858392759181,0.3588330025409583,2,1,3,3,0.43689167360167813,0.3289735706462552,0.2334368632084104,0.3927912422781985,0.4102846668376077
300092,300,494863.1,2623.067,2623.067,3431.608,3919.781,29166.67,0,1.0,0,0.0,171.7391,4,3665.653,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,508.7763,1025.998,12.73702,0.0,13.112036437642928,0.0451012749075943,1,2,3,2,0.42525020885595705,0.6488834744700296,0.6861229406339241,0.6109010028584028,0.6802357757492169
213021,213,494934.5,4722.201,4722.201,6471.095,7644.93,58333.33,1,1.0,0,0.0,171.7391,2,3299.563,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,0.0,1011.923,2040.735,12.89789,0.0,13.112180709563013,-0.07479787225337553,1,2,3,2,0.5475664215982133,0.9574572817017316,0.9783153092139778,0.9108149523479844,0.980976412797043
309022,309,495464.3,9794.351,9629.237,12233.47,13733.11,16666.67,0,0.0,0,1.0,175.9551,3,4954.643,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,1077.4,754.5577,2164.613,3270.023,12.74393,0.0,13.113250581720644,0.04115908140931701,3,2,3,2,0.225522676369106,0.19201726587270432,0.09792494054302281,0.2955049888943657,0.2959110857637539
571034,571,495714.3,7328.181,9383.636,12421.8,14865.74,25000.0,0,1.0,1,1.0,125.7222,2,4130.952,8.711562,-0.7913247,0.5789615,40.21196,-3.331221,0.3615767,8.021887,-0.7278951,0.0,1223.628,4249.773,6439.661,13.2852,0.0,13.113755031686171,-0.36223962922690056,3,3,3,1,0.28316912750262324,0.48087944697256685,0.46775658095332523,0.48043963463335365,0.5351969387951822
527034,527,495824.4,3337.175,3235.207,4413.583,5149.604,12500.0,1,0.0,0,0.3,175.9551,4,3888.819,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,0.0,159.5004,502.5835,1013.612,12.39702,0.0,13.113977110764784,0.3007546507556196,2,1,3,3,0.27166669457983716,0.11529509675919533,0.017762994700007355,0.2427346383830381,0.24433967181453864
505038,505,496043.1,2957.987,2957.987,3985.979,4651.619,20833.33,1,1.0,0,0.0,171.7391,4,4133.693,8.711562,-0.7913247,-0.1123411,40.21196,-3.331221,-0.5616105,8.021887,-0.7278951,0.0,0.0,504.554,1017.553,12.34531,0.0,13.11441809709319,0.339782354313348,1,1,3,3,0.44519692662756766,0.3819979929057024,0.31381313510283676,0.4293055596892603,0.45353549146482325
281025,281,496100.0,3339.03,3514.53,4235.377,4789.455,23333.33,1,0.0,0,1.0,175.9551,5,4863.726,8.711562,-0.7913247,0.2582232,40.21196,-3.331221,-0.1449791,8.021887,-0.7278951,0.0,280.1402,403.6432,814.0422,12.70859,0.0,13.11453279828914,0.06881249478470508,3,2,3,2,0.35827927940842763,0.46459821107398963,0.4357547778510518,0.48208063061167516,0.5201863455363993
