hhid,hhea,consumption,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,closesubtreatment,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmtscore,getbenefit
458056,458,527865.1,4585.416,5212.514,8429.212,10633.32,27777.78,0,0,1,.2,175.3095,3,2513.643,8.711562,-.7913247,-.5047958,40.21196,-3.331221,-.6510682,8.021887,-.7278951,538.7,889.2626,3812.712,5684.186,13.51133,0
210029,210,528163.7,3016.267,3016.267,4365.428,5350.134,20833.33,0,1,0,0,171.7391,4,2608.216,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,815.4097,1644.467,12.76725,0
286036,286,528428.6,14019.99,12587.04,15876.84,16612.47,20833.33,0,0,0,2.5,175.9551,4,7828.571,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,1175.192,822.2335,1658.115,12.54803,0
538025,538,528866.1,4647.248,5001.568,6344.508,7517.398,12500,0,0,0,.3,175.9551,4,3711.341,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,0,257.7686,812.2252,1638.098,12.87908,0
554019,554,529107.2,3884.984,3884.984,4797.467,5232.048,19444.44,0,1,0,0,171.7391,6,5039.116,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,0,0,549.6721,1108.443,12.64074,0
495069,495,529351.2,5902.219,6181.857,7662.907,8903.279,16666.67,1,0,0,1.5,175.9551,3,2786.059,8.711562,-.7913247,-.2791554,40.21196,-3.331221,-.6989908,8.021887,-.7278951,0,1035.659,1090.246,2198.688,12.64605,0
551006,551,529448.4,3887.49,3887.49,5584.438,6812.268,27777.78,0,1,0,0,171.7391,3,2521.183,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,0,0,1090.246,2198.688,12.56355,0
510020,510,529449.4,6279.804,6279.804,8077.546,9101.735,29166.67,0,1,0,0,171.7391,4,5430.25,8.711562,-.7913247,-.1123411,40.21196,-3.331221,-.5616105,8.021887,-.7278951,0,0,817.6843,1649.016,12.157,0
236030,236,530116.6,4087.017,4087.017,5546.141,6503.858,23333.33,0,1,0,0,171.7391,5,4417.639,8.711562,-.7913247,.2582232,40.21196,-3.331221,-.1449791,8.021887,-.7278951,0,0,650.508,1311.934,13.218,0
547017,547,530270.9,10769.44,10994.02,14659.24,16677.88,12500,0,1,1,.1,125.7222,4,11783.8,8.711562,-.7913247,.5789615,40.21196,-3.331221,.3615767,8.021887,-.7278951,0,-89.3166,2433.869,3837.796,13.19503,0
