hhid,hhea,consumption,totcost_pc,totcost_smth_pc,totcost_3k_pc,totcost_6k_pc,benefit,showup,closesubtreatment,urban,distt,ave_waiting,hhsize,wagerate,reg_const,reg_logcon,FE,reg_const2,reg_pmt2,FE2,reg_nofe_const,reg_nofe_logcon,moneycost,moneycost_smth,moneycost_3k,moneycost_6k,pmtscore,getbenefit
28003,028,1092794,8684.21,9104.072,11373.09,11601.73,27777.78,0,0,0,.3,175.9551,3,8406.105,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,205.3131,1205.894,1142.326,13.24129,0
28003,028,1092794,8217.204,8217.204,10906.09,11134.73,27777.78,0,1,0,0,175.9551,3,8406.105,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1205.894,1142.326,13.24129,0
28004,028,745331,6761.638,7005.458,7924.875,7997.313,10000,0,0,0,.7,175.9551,5,10351.82,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,232.6529,528.0966,665.1632,13.15866,0
28004,028,745331,6071.517,6071.517,7234.754,7307.192,10000,0,1,0,0,175.9551,5,10351.82,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,528.0966,665.1632,13.15866,0
28009,028,703688.8,4506.254,4679.877,5306.752,5361.585,7142.857,0,0,0,.7,175.9551,7,9658.474,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,166.1807,377.2119,475.1165,12.46736,0
28009,028,703688.8,4046.327,4046.327,4846.825,4901.658,7142.857,0,1,0,0,175.9551,7,9658.474,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,377.2119,475.1165,12.46736,0
28012,028,493059.5,3213.197,3213.197,4631.322,5531.859,27777.78,1,1,0,0,175.9551,3,3287.064,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,673.5444,1375.797,12.77292,0
28012,028,493059.5,3578.427,3972.091,4996.552,5897.088,27777.78,1,0,0,.7,175.9551,3,3287.064,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,387.7549,673.5444,1375.797,12.77292,0
28013,028,492755.1,1852.623,1852.623,2570.585,2985.875,16666.67,0,1,0,0,175.9551,7,4422.161,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,288.6619,589.6271,12.55711,0
28013,028,492755.1,2063.202,2232.79,2781.165,3196.454,16666.67,0,0,0,.7,175.9551,7,4422.161,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,166.1807,288.6619,589.6271,12.55711,0
28015,028,342777.2,985.5128,985.5128,1811.852,2105.096,16666.67,1,1,0,0,175.9551,7,2352.393,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,631.1688,875.4085,12.55973,0
28015,028,342777.2,1097.531,1265.525,1923.87,2217.115,16666.67,1,0,0,.7,175.9551,7,2352.393,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,166.1807,631.1688,875.4085,12.55973,0
28019,028,468595.2,1761.789,1761.789,2429.979,2810.94,16666.67,0,1,0,0,175.9551,7,4205.342,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,289.8922,592.0879,12.56062,0
28019,028,468595.2,1962.043,2228.743,2630.234,3011.195,16666.67,0,0,0,1,175.9551,7,4205.342,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,222.834,289.8922,592.0879,12.56062,0
28020,028,1147103,6229.587,6229.587,8270.129,8138.458,27777.78,1,1,0,0,175.9551,3,6372.795,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,1036.632,803.8024,13.1328,0
28020,028,1147103,6937.675,7336.888,8978.218,8846.546,27777.78,1,0,0,.7,175.9551,3,6372.795,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,387.7549,1036.632,803.8024,13.1328,0
28021,028,822246,2364.025,2364.025,3165.578,2989.82,13888.89,1,1,0,0,175.9551,6,4836.741,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,454.843,274.955,12.38109,0
28021,028,822246,2767.087,2951.568,3568.639,3392.881,13888.89,1,0,0,1,175.9551,6,4836.741,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,259.973,454.843,274.955,12.38109,0
28023,028,416120.8,1432.958,1524.854,2430.653,2840.319,7142.857,1,0,0,.2,175.9551,7,3236.495,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,67.9705,695.6569,1004.385,12.41388,0
28023,028,416120.8,1355.899,1355.899,2353.594,2763.26,7142.857,1,1,0,0,175.9551,7,3236.495,10.5349,-.9415267,0,49.90754,-4.138515,0,9.865076,-.8695054,0,0,695.6569,1004.385,12.41388,0
